"","name","eigenvector","overall_membership","ratifications_201517","major_agreement_selection","GDP","demos","GDPpc"
"89","Kiribati",0.373041102748016,52,5,9,1685,-0.1,0.01685
"90","Kuwait",0.43908803800706,60,6,10,29040,-0.5,0.2904
"91","Kyrgyzstan",0.399665240846266,47,5,10,1219,-0.5,0.01219
"92","Laos",0.334507711502105,50,5,9,2457,-0.65,0.02457
"93","Latvia",0.644949249488238,106,6,14,15594,-0.2,0.15594
"94","Lebanon",0.37896050722057,73,9,12,8523,-0.5,0.08523
"95","Lesotho",0.559464838399936,54,6,10,1181,-0.3,0.01181
"96","Liberia",0.354270800930257,71,9,11,456,-0.3,0.00456
"97","Libya",0.491445187497216,65,2,12,7998,-0.65,0.07998
"98","Liechtenstein",0.446811012313075,63,5,9,168146,-0.15,1.68146
"99","Lithuania",0.644949249488238,112,6,14,16680,-0.1,0.1668
"100","Luxembourg",0.830193343663598,134,6,13,104103,-0.1,1.04103
"101","Macedonia",0.58800681568661,71,6,11,5163,-0.35,0.05163
"102","Madagascar",0.63091922734604,74,14,12,449,-0.35,0.00449
"103","Malawi",0.534310108956721,60,6,10,338,-0.3,0.00338
"104","Malaysia",0.52330247461115,68,6,11,9944,-0.4,0.09944
"105","Maldives",0.385927888472128,49,6,9,10535,-0.5,0.10535
"106","Mali",0.618581096193052,70,7,10,824,-0.45,0.00824
"107","Malta",0.659133400342723,94,14,13,26945,-0.1,0.26945
"108","Marshall Islands",0.0604217276745858,59,7,9,3753,-0.1,0.03753
"109","Mauritania",0.615342667715675,74,9,11,1136,-0.55,0.01136
"110","Mauritius",0.689801965996083,84,8,11,10547,-0.15,0.10547
"111","Mexico",0.743784263248338,109,4,13,8902,-0.3,0.08902
"112","Monaco",0.429658391340592,94,5,15,162009,-0.2,1.62009
"113","Mongolia",0.443306129785065,60,7,11,3735,-0.15,0.03735
"114","Montenegro",0.537927681456235,93,11,16,7669,-0.3,0.07669
"115","Morocco",0.736964705966985,109,9,13,3007,-0.5,0.03007
"116","Mozambique",0.625837859350266,65,5,10,415,-0.4,0.00415
"117","Myanmar",0.314146162629167,57,15,9,1298,-0.5,0.01298
"118","Namibia",0.573327081374379,65,10,8,5227,-0.2,0.05227
"119","Nauru",0.337145693037599,39,3,6,8343,-0.2,0.08343
"120","Nepal",0.350813593784494,38,2,9,835,-0.35,0.00835
"121","Netherlands",0.979334712314908,195,9,16,48223,-0.1,0.48223
"122","New Zealand",0.63471944696355,96,10,10,42940,-0.1,0.4294
"123","Nicaragua",0.555273321867717,83,5,9,2221,-0.45,0.02221
"124","Niger",0.84176386755149,63,11,9,378,-0.4,0.00378
"125","Nigeria",0.766800221674325,77,1,13,1968,-0.4,0.01968
"126","Norway",0.869738271147135,206,10,15,75504,-0.1,0.75504
"127","Oman",0.827983175953757,65,5,10,15668,-0.55,0.15668
"128","Pakistan",0.644000236848016,73,6,10,1547,-0.45,0.01547
"129","Palau",0.394803947354078,61,6,10,13417,-0.1,0.13417
"130","Panama",0.639857290942662,106,7,10,15087,-0.2,0.15087
"131","Papua New Guinea",0.442367849562562,60,5,9,2555,-0.3,0.02555
"132","Paraguay",0.442148885968686,57,5,9,4365,-0.3,0.04365
"133","Peru",0.6166472743901,117,13,11,6571,-0.25,0.06571
"134","Philippines",0.605406050185189,77,5,10,2988,-0.3,0.02988
"135","Plurinational State of Bolivia",0.494154287723219,57,5,9,3393,-0.3,0.03393
"136","Poland",0.785944759580064,142,4,16,13811,-0.15,0.13811
"137","Portugal",0.944053391410378,150,10,18,21136,-0.1,0.21136
"138","Qatar",0.572976623105347,56,5,9,63505,-0.55,0.63505
"139","Republic of Korea",0.77159915857212,102,9,11,29742,-0.2,0.29742
"140","Republic of Moldova",0.397257071817172,82,7,11,2289,-0.3,0.02289
"141","Romania",0.79440702663605,140,8,15,10813,-0.2,0.10813
"142","Russia",0.622503287155653,83,11,8,10743,-0.65,0.10743
"143","Rwanda",0.649316179875526,46,6,7,748,-0.6,0.00748
"144","Saint Kitts and Nevis",0.0537946923430099,59,6,10,17090,-0.1,0.1709
"145","Saint Lucia",0.0537946923430099,60,8,10,9574,-0.1,0.09574
"146","Saint Vincent and the Grenadines",0.0537946923430099,58,2,8,7185,-0.1,0.07185
"147","Samoa",0.496515827916686,60,5,9,4360,-0.2,0.0436
"148","San Marino",0.293320867478474,30,3,7,49664,-0.1,0.49664
"149","Sao Tomé-Principe",0.535174375397696,40,6,10,1912,-0.2,0.01912
"150","Saudi Arabia",0.604166621369602,68,5,11,20760,-0.7,0.2076
"151","Senegal",0.675318718314335,94,8,15,1033,-0.2,0.01033
"152","Serbia",0.644246765634773,52,17,5,5900,-0.25,0.059
"153","Seychelles",0.599191876605809,57,8,9,15504,-0.3,0.15504
"154","Sierra Leone",0.606644645726596,63,4,12,499,-0.3,0.00499
"155","Singapore",0.344895607747824,55,8,8,57714,-0.4,0.57714
"156","Slovakia",0.806057818126766,114,19,13,17604,-0.1,0.17604
"157","Slovenia",0.826336218531894,145,11,16,23597,-0.1,0.23597
"158","Solomon Islands",0.10537499476536,53,3,10,2132,-0.25,0.02132
"159","Somalia",0.487569944130081,29,5,7,499,-0.7,0.00499
"160","South Africa",0.696512505334432,112,13,13,6160,-0.2,0.0616
"161","South Sudan",0.157624462744455,12,6,5,237,-0.7,0.00237
"162","Spain",0.944652848049097,183,6,19,28156,-0.1,0.28156
"163","Sri Lanka",0.595848014997005,60,5,10,4065,-0.35,0.04065
"164","Sudan",0.604541565489372,51,8,9,2898,-0.7,0.02898
"165","Suriname",0.555310538598594,56,2,10,5900,-0.2,0.059
"166","Swaziland",0.533826414459652,52,9,9,3224,-0.65,0.03224
"167","Sweden",0.9091655522776,186,13,15,53442,-0.1,0.53442
"168","Switzerland",0.869963888956371,157,18,16,80189,-0.1,0.80189
"169","Tajikistan",0.397665563656354,44,9,7,800,-0.65,0.008
"170","Tanzania",0.625070048572513,68,1,11,936,-0.4,0.00936
"171","Thailand",0.566556056755814,63,12,11,6593,-0.55,0.06593
"172","Timor-Leste",0.35668210084663,24,4,6,2279,-0.25,0.02279
"173","Togo",0.697299109275672,67,6,11,617,-0.4,0.00617
"174","Tonga",0.51642770892172,61,8,10,3944,-0.2,0.03944
"175","Trinidad and Tobago",0.0838326051733885,77,3,11,16145,-0.2,0.16145
"176","Tunisia",0.659720934859001,91,2,12,3490,-0.25,0.0349
"177","Turkey",0.784206474054141,102,12,10,10540,-0.55,0.1054
"178","Turkmenistan",0.251011443900793,37,4,6,7355,-0.7,0.07355
"179","Tuvalu",0.279401323053826,39,5,6,3549,-0.1,0.03549
"180","Uganda",0.757693758220545,53,5,10,604,-0.5,0.00604
"181","UK",1,195,11,18,39720,-0.1,0.3972
"182","Ukraine",0.440228188042321,88,10,7,2639,-0.3,0.02639
"183","United Arab Emirates",0.44392794813976,67,9,10,40698,-0.65,0.40698
"184","Uruguay",0.588607906029565,97,8,11,16245,-0.1,0.16245
"185","USA",0.791777649906328,140,11,12,59531,-0.15,0.59531
"186","Uzbekistan",0.205501344794711,39,2,8,1504,-0.7,0.01504
"187","Vanuatu",0.505417788750451,58,8,9,3123,-0.2,0.03123
"188","Venezuela",0.485481956234454,76,4,11,15692,-0.55,0.15692
"189","Vietnam",0.560798023778686,62,13,8,2343,-0.6,0.02343
"190","Yemen",0.43679750713721,38,4,7,660,-0.65,0.0066
"191","Zambia",0.686746020968197,52,6,8,1509,-0.4,0.01509
"192","Zimbabwe",0.620411098703844,46,6,8,1079,-0.55,0.01079
