"","name","overall_membership","ratifications_201517","major_agreement_selection"
"Spain","Spain",183,6,19
"Sri Lanka","Sri Lanka",60,5,10
"Sudan","Sudan",51,8,9
"Suriname","Suriname",56,2,10
"Swaziland","Swaziland",52,9,9
"Sweden","Sweden",186,13,15
"Switzerland","Switzerland",157,18,16
"Syria","Syrian Arab Republic",83,5,11
"Taiwan","Taiwan",4,1,0
"Tajikistan","Tajikistan",44,9,7
"Tanzania","Tanzania",68,1,11
"Thailand","Thailand",63,12,11
"Timor-Leste","Timor-Leste",24,4,6
"Togo","Togo",67,6,11
"Tonga","Tonga",61,8,10
"Trinidad and Tobago","Trinidad and Tobago",77,3,11
"Tunisia","Tunisia",91,2,12
"Turkey","Turkey",102,12,10
"Turkmenistan","Turkmenistan",37,4,6
"Tuvalu","Tuvalu",39,5,6
"Uganda","Uganda",53,5,10
"United Kingdom","UK",195,11,18
"Ukraine","Ukraine",88,10,7
"United Arab Emirates","United Arab Emirates",67,9,10
"Uruguay","Uruguay",97,8,11
"United States","USA",140,11,12
"Uzbekistan","Uzbekistan",39,2,8
"Vanuatu","Vanuatu",58,8,9
"Venezuela","Venezuela",76,4,11
"Viet Nam","Vietnam",62,13,8
"Yemen","Yemen",38,4,7
"Zambia","Zambia",52,6,8
"Zimbabwe","Zimbabwe",46,6,8
